,pIC50,mol_weight,logp,hbd,hba,tpsa,heavy_atoms,rotatable_bonds
pIC50,1.0,0.26945318416575265,0.18776749381579114,0.19482160380882577,0.2529824999294803,0.11182608658640701,0.2620309561390562,0.20659712744385667
mol_weight,0.26945318416575265,1.0,0.5608544631285874,0.37665520379207956,0.762550975237735,0.638433158006741,0.9725947423587434,0.7573310886074746
logp,0.18776749381579114,0.5608544631285874,1.0,0.09119396811390375,0.1447807374647831,-0.06169061884884949,0.5319630925457824,0.3631939205243347
hbd,0.19482160380882577,0.37665520379207956,0.09119396811390375,1.0,0.3532184766184396,0.5919085212966501,0.37238455638031803,0.32027503091744447
hba,0.2529824999294803,0.762550975237735,0.1447807374647831,0.3532184766184396,1.0,0.7986715365937006,0.7892972073099505,0.6660701077956582
tpsa,0.11182608658640701,0.638433158006741,-0.06169061884884949,0.5919085212966501,0.7986715365937006,1.0,0.6646025563768874,0.5828598617005968
heavy_atoms,0.2620309561390562,0.9725947423587434,0.5319630925457824,0.37238455638031803,0.7892972073099505,0.6646025563768874,1.0,0.7660820339835518
rotatable_bonds,0.20659712744385667,0.7573310886074746,0.3631939205243347,0.32027503091744447,0.6660701077956582,0.5828598617005968,0.7660820339835518,1.0
