activity_id,assay_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,compound_name,canonical_smiles,molecular_weight,alogp,pIC50,standardized_smiles,mol_weight,logp,hbd,hba,rotatable_bonds,heavy_atoms,aromatic_rings,tpsa,query_id,cid,iupac_name,isomeric_smiles,molecular_formula,xlogp,hydrogen_bond_donor_count,hydrogen_bond_acceptor_count,rotatable_bond_count,complexity
27916325.0,CHEMBL5735011,CHEMBL5879544,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,,,6.259637310505756,COc1ccc(F)cc1C(=O)NCc1ccc(-c2nn(C3CCCC3)c3ncnc(N)c23)cc1,460.51300000000026,4.268300000000003,2.0,7.0,6.0,34.0,4.0,107.94999999999999,,,,,,,,,,
27916340.0,CHEMBL5735011,CHEMBL5938548,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,Nc1ncnc2c1c(-c1ccc(CNC(=O)c3ccccc3OC(F)(F)F)cc1)nn2C1CCCC1,,,6.259637310505756,Nc1ncnc2c1c(-c1ccc(CNC(=O)c3ccccc3OC(F)(F)F)cc1)nn2C1CCCC1,496.4930000000002,5.019200000000003,2.0,7.0,6.0,36.0,4.0,107.95000000000002,,,,,,,,,,
27916436.0,CHEMBL5735011,CHEMBL5976861,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,COc1ccccc1C(=O)NCc1ccc(-c2nn(C3CCC4(CC3)OCCO4)c3ncnc(N)c23)cc1,,,6.259637310505756,COc1ccccc1C(=O)NCc1ccc(-c2nn(C3CCC4(CC3)OCCO4)c3ncnc(N)c23)cc1,514.5860000000005,3.872300000000002,2.0,9.0,6.0,38.0,4.0,126.41,,,,,,,,,,
27653045.0,CHEMBL5733991,CHEMBL5739768,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CC(Nc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)C1,,,6.259637310505756,C=CC(=O)N1CC(Nc2nc(Nc3ccc(OC)nc3)ncc2C(C)=O)C1,368.39700000000016,1.6350999999999998,2.0,8.0,7.0,27.0,2.0,109.34,,,,,,,,,,
27653054.0,CHEMBL5733991,CHEMBL5922445,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,,,6.259637310505756,C=CC(=O)N1CCC[C@@H](Oc2nc(Nc3cccc(OC)c3)ncc2F)C1,372.40000000000015,2.923700000000001,1.0,6.0,6.0,27.0,2.0,76.58000000000001,,,,,,,,,,
27653075.0,CHEMBL5733991,CHEMBL6003806,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCC[C@H](Nc2nc(Nc3ccc(C=C)nc3)ncc2F)C1,,,6.259637310505756,C=CC(=O)N1CCC[C@H](Nc2nc(Nc3ccc(C=C)nc3)ncc2F)C1,368.4160000000001,2.986200000000001,2.0,6.0,6.0,27.0,2.0,83.04,,,,,,,,,,
27653090.0,CHEMBL5733991,CHEMBL5808792,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,,,6.259637310505756,C=CC(=O)N1CCC[C@@H](Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,372.4040000000001,2.3518,2.0,7.0,6.0,27.0,2.0,92.27000000000001,,,,,,,,,,
27653093.0,CHEMBL5733991,CHEMBL5967217,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCC(Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,,,6.259637310505756,C=CC(=O)N1CCC(Nc2nc(Nc3ccc(OC)nc3)ncc2F)C1,358.3770000000001,1.9616999999999996,2.0,7.0,6.0,26.0,2.0,92.27000000000001,,,,,,,,,,
27653105.0,CHEMBL5733991,CHEMBL5784829,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,CC(C)=CC(=O)c1cccc(Nc2nc(Nc3cccc(OCCN(C)C)c3)ncc2F)c1,,,6.259637310505756,CC(C)=CC(=O)c1cccc(Nc2nc(Nc3cccc(OCCN(C)C)c3)ncc2F)c1,449.53000000000026,5.192200000000004,2.0,7.0,10.0,33.0,3.0,79.38,,,,,,,,,,
27653123.0,CHEMBL5733991,CHEMBL5827561,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,COc1cccc(Nc2ncc(C(F)(F)F)c(N[C@@H]3CCC[C@H](C(=O)C=C(C)C)C3)n2)c1,,,6.259637310505756,COc1cccc(Nc2ncc(C(F)(F)F)c(N[C@@H]3CCC[C@H](C(=O)C=C(C)C)C3)n2)c1,448.48900000000026,5.753600000000004,2.0,6.0,7.0,32.0,2.0,76.14,,,,,,,,,,
